Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
4.0,Anderlecht,15,6,9,50,27,23,51,Cercle Brugge KSV,13.0,16.03.2025,17:30,home,3,0,W,team,2.19,1.26,0.59,0.41,19,17,7,5,1.0,2.0,7,7,0.76,0.69,2.0,5.0,0.0,0.0,5,9,7.0,3.0,15.0,12.0,4.0,5.0,0.0,0.0,36.0,31.0,0,3,19.0,9.0,0.7,0.55,0.47,0.36,21,24,9,19,0.57,0.87,32.0,26.0,4.0,10.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,1,1,0.5238095238095238,0.6,0.5,0.5454545454545454,1.0,3,0.6,3,0.6,0.6
4.0,Anderlecht,15,6,9,50,27,23,51,KV Mechelen,8.0,17.08.2024,19:45,away,3,1,W,team,0.0,0.0,0.47,0.53,12,22,8,9,0.0,0.0,8,9,0.0,0.0,2.0,1.0,0.0,0.0,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16,17,12,12,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,1,1,0.5454545454545454,0.8,0.5,0.5833333333333334,0.5,4,0.6,2,0.8,0.7400000000000001
4.0,Anderlecht,15,6,9,50,27,23,51,Genk,1.0,17.09.2024,19:00,home,0,2,L,opponent,0.0,0.0,0.54,0.46,18,19,4,9,0.0,0.0,4,4,0.0,0.0,1.0,2.0,0.0,0.0,14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,17,10,11,19,0.0,0.0,0.0,0.0,0.0,0.0,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,1,2,2,0.5217391304347826,0.8,0.45454545454545453,0.5833333333333334,0.0,0,0.30000000000000004,-2,0.8,0.6500000000000001
4.0,Anderlecht,15,6,9,50,27,23,51,Club Brugge KV,2.0,18.05.2025,12:30,home,1,3,L,opponent,1.42,3.17,0.52,0.48,16,13,6,6,2.0,3.0,6,4,0.83,0.84,2.0,4.0,0.0,0.0,5,3,5.0,4.0,11.0,10.0,5.0,3.0,1.0,0.0,38.0,20.0,1,1,13.0,11.0,0.75,0.64,0.2,0.0,23,18,11,13,0.88,0.64,11.0,30.0,12.0,11.0,3,5,0.83,3.05,0.0,0.0,0.0,2.0,0.48,0.51,1.14,1.25,49.0,49.0,0.0,0.0,0.0,0.0,3.05,0.83,0.05,-0.17,0,5,1,2,2,0.5,0.6,0.4166666666666667,0.5833333333333334,0.0,0,0.1,-2,0.6,0.44999999999999996
4.0,Anderlecht,15,6,9,50,27,23,51,Beerschot VA,16.0,18.10.2024,19:45,away,1,2,L,opponent,2.16,1.21,0.67,0.33,26,10,8,2,0.0,0.0,9,4,0.88,0.74,0.0,4.0,0.0,0.0,8,6,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,16.0,2.0,0.0,0.0,0.0,0.0,18,18,2,16,0.0,0.0,0.0,0.0,13.0,6.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,0.48,0.4,0.4166666666666667,0.5384615384615384,1.0,0,0.0,-1,0.4,0.28
4.0,Anderlecht,15,6,9,50,27,23,51,Kortrijk,15.0,19.01.2025,12:30,away,2,0,W,team,1.53,0.97,0.64,0.36,10,11,3,3,1.0,0.0,7,7,0.9,0.8,2.0,3.0,0.0,1.0,4,6,3.0,2.0,7.0,9.0,3.0,2.0,1.0,0.0,22.0,19.0,4,2,9.0,11.0,0.8,0.74,0.32,0.25,27,16,11,9,0.44,0.74,27.0,20.0,7.0,8.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,1,1,0.5,0.4,0.4166666666666667,0.5714285714285714,1.0,1,0.3,2,0.4,0.37000000000000005
4.0,Anderlecht,15,6,9,50,27,23,51,Antwerp,5.0,20.04.2025,12:30,home,0,0,D,draw,1.57,0.88,0.56,0.44,15,13,4,5,1.0,2.0,7,4,0.84,0.78,2.0,2.0,0.0,0.0,9,5,2.0,3.0,10.0,5.0,5.0,8.0,0.0,0.0,30.0,24.0,1,1,16.0,7.0,0.75,0.6,0.25,0.45,19,20,7,16,0.32,0.55,13.0,32.0,8.0,11.0,5,4,0.49,1.46,0.0,0.0,0.0,0.0,0.49,0.38,1.04,0.79,51.0,50.0,0.0,0.0,0.0,0.0,1.46,0.49,1.46,0.49,0,1,1,0,0,0.48148148148148145,0.2,0.38461538461538464,0.5714285714285714,1.0,0,0.2,0,0.2,0.2
4.0,Anderlecht,15,6,9,50,27,23,51,Charleroi,10.0,21.09.2024,19:45,home,0,0,D,draw,0.0,0.0,0.57,0.43,10,9,4,3,0.0,0.0,6,3,0.0,0.0,4.0,3.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,30,11,6,12,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,0,0,0.4642857142857143,0.2,0.35714285714285715,0.5714285714285714,1.0,0,0.1,0,0.2,0.17
4.0,Anderlecht,15,6,9,50,27,23,51,Genk,1.0,22.12.2024,12:30,away,0,2,L,opponent,0.31,2.4,0.48,0.52,7,17,2,5,0.0,5.0,5,10,0.87,0.88,1.0,1.0,0.0,0.0,3,8,2.0,4.0,4.0,10.0,3.0,7.0,0.0,0.0,17.0,29.0,2,1,6.0,8.0,0.71,0.78,0.17,0.38,13,13,8,6,0.42,0.71,20.0,25.0,11.0,8.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,2,2,0.4482758620689655,0.2,0.35714285714285715,0.5333333333333333,0.0,0,0.0,-2,0.2,0.14
4.0,Anderlecht,15,6,9,50,27,23,51,Royale Union SG,3.0,23.02.2025,17:30,home,0,2,L,opponent,0.87,1.47,0.59,0.41,10,6,4,5,3.0,3.0,7,2,0.79,0.77,3.0,2.0,0.0,0.0,4,1,2.0,0.0,6.0,3.0,4.0,3.0,1.0,0.0,15.0,15.0,3,4,14.0,10.0,0.62,0.68,0.21,0.0,34,21,10,14,0.59,0.7,12.0,44.0,2.0,7.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,1,2,2,0.43333333333333335,0.2,0.3333333333333333,0.5333333333333333,0.0,0,0.0,-2,0.2,0.14
4.0,Anderlecht,15,6,9,50,27,23,51,Gent,6.0,23.04.2025,19:30,home,5,0,W,team,2.18,0.52,0.58,0.42,13,3,6,0,5.0,1.0,4,4,0.88,0.79,0.0,2.0,0.0,0.0,5,2,2.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0,36.0,11.0,2,1,9.0,14.0,0.78,0.75,0.33,0.17,23,21,14,9,0.36,0.57,21.0,21.0,8.0,11.0,0,1,3.32,0.0,2.0,0.0,0.0,0.0,0.6,0.38,1.3,0.22,46.0,36.0,0.0,0.0,0.0,1.0,0.0,3.32,0.0,-1.68,0,8,1,1,1,0.45161290322580644,0.2,0.375,0.5333333333333333,0.0,1,0.3,5,0.2,0.23
4.0,Anderlecht,15,6,9,50,27,23,51,Gent,6.0,24.11.2024,17:30,home,6,0,W,team,2.86,0.2,0.63,0.37,18,6,11,4,4.0,0.0,3,5,0.88,0.79,0.0,4.0,0.0,2.0,5,1,2.0,1.0,9.0,2.0,9.0,4.0,0.0,1.0,29.0,14.0,1,3,17.0,7.0,0.81,0.61,0.14,0.29,20,21,7,17,0.8,0.48,10.0,12.0,6.0,6.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,1,1,1,0.46875,0.4,0.4117647058823529,0.5333333333333333,0.5,2,0.5,6,0.4,0.43
4.0,Anderlecht,15,6,9,50,27,23,51,Genk,1.0,25.05.2025,17:30,away,1,2,L,opponent,1.15,1.47,0.45,0.55,17,14,3,7,2.0,2.0,4,3,0.86,0.88,2.0,0.0,0.0,0.0,10,6,4.0,1.0,12.0,9.0,5.0,5.0,1.0,0.0,30.0,20.0,0,2,13.0,15.0,0.83,0.74,0.36,0.19,14,23,15,13,0.7,0.59,18.0,14.0,7.0,7.0,5,2,0.55,2.06,0.0,0.0,0.0,0.0,0.53,0.67,0.6,0.76,46.0,50.0,0.0,1.0,0.0,0.0,2.06,0.55,0.06,-0.45,0,7,0,2,2,0.45454545454545453,0.4,0.4117647058823529,0.5,0.0,0,0.30000000000000004,-1,0.4,0.37000000000000005
4.0,Anderlecht,15,6,9,50,27,23,51,KV Mechelen,8.0,26.01.2025,17:30,home,4,1,W,team,2.04,1.93,0.48,0.52,14,13,8,7,6.0,3.0,2,5,0.83,0.84,0.0,2.0,0.0,0.0,6,4,0.0,2.0,11.0,10.0,2.0,3.0,1.0,0.0,21.0,30.0,1,2,9.0,6.0,0.64,0.72,0.28,0.35,21,21,6,9,0.61,0.63,21.0,29.0,10.0,10.0,6,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,1,1,0.47058823529411764,0.6,0.4444444444444444,0.5,1.0,1,0.4,3,0.6,0.54
4.0,Anderlecht,15,6,9,50,27,23,51,Gent,6.0,27.04.2025,12:30,away,1,0,W,team,1.4,1.52,0.67,0.33,18,15,4,7,2.0,3.0,9,2,0.84,0.7,2.0,4.0,0.0,1.0,7,4,7.0,4.0,12.0,9.0,6.0,6.0,1.0,0.0,37.0,21.0,4,0,20.0,8.0,0.74,0.6,0.26,0.45,23,19,8,20,0.75,0.65,16.0,28.0,7.0,10.0,7,3,1.36,0.71,0.0,0.0,1.0,1.0,0.6,0.48,1.92,0.49,49.0,37.0,2.0,0.0,0.0,0.0,0.71,1.36,0.71,0.36,0,8,0,1,1,0.4857142857142857,0.8,0.4444444444444444,0.5294117647058824,0.6666666666666666,2,0.5,1,0.8,0.7100000000000001
4.0,Anderlecht,15,6,9,50,27,23,51,St. Truiden,14.0,27.07.2024,19:45,home,1,0,W,team,0.0,0.0,0.66,0.34,11,2,3,0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,23,18,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,1,1,1,0.5,0.8,0.47368421052631576,0.5294117647058824,1.0,3,0.6,1,0.8,0.7400000000000001
4.0,Anderlecht,15,6,9,50,27,23,51,Club Brugge KV,2.0,27.10.2024,12:30,away,1,2,L,opponent,0.57,3.13,0.46,0.54,7,20,2,9,0.0,0.0,2,8,0.85,0.89,3.0,0.0,0.0,0.0,4,9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,9.0,13.0,0.0,0.0,0.0,0.0,11,19,13,9,0.0,0.0,0.0,0.0,16.0,4.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,2,2,0.4864864864864865,0.6,0.47368421052631576,0.5,0.0,0,0.30000000000000004,-1,0.6,0.51
4.0,Anderlecht,15,6,9,50,27,23,51,Dender,12.0,27.12.2024,19:45,home,2,3,L,opponent,1.83,2.26,0.54,0.46,13,15,5,4,3.0,3.0,2,4,0.84,0.8,0.0,2.0,0.0,0.0,4,6,4.0,5.0,10.0,12.0,3.0,3.0,0.0,0.0,21.0,22.0,3,3,17.0,13.0,0.72,0.71,0.2,0.27,21,18,13,17,0.67,0.81,28.0,20.0,8.0,11.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,2,2,0.47368421052631576,0.6,0.45,0.5,0.5,0,0.1,-1,0.6,0.44999999999999996
4.0,Anderlecht,15,6,9,50,27,23,51,Dender,12.0,28.09.2024,19:45,away,1,1,D,draw,0.0,0.0,0.6,0.4,12,6,5,4,0.0,0.0,6,5,0.0,0.0,2.0,3.0,0.0,0.0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,11,14,12,11,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.46153846153846156,0.4,0.45,0.47368421052631576,0.0,0,0.0,0,0.4,0.28
4.0,Anderlecht,15,6,9,50,27,23,51,Club Brugge KV,2.0,30.03.2025,12:30,away,0,2,L,opponent,0.17,1.75,0.48,0.52,4,19,0,9,0.0,2.0,2,7,0.85,0.86,2.0,0.0,0.0,0.0,3,6,1.0,4.0,2.0,11.0,2.0,8.0,0.0,1.0,15.0,37.0,0,0,13.0,15.0,0.72,0.71,0.33,0.35,16,21,15,13,0.71,0.63,28.0,18.0,11.0,4.0,7,0,0.0,3.56,0.0,0.0,0.0,0.0,0.38,0.47,0.5,0.94,50.0,57.0,0.0,1.0,2.0,0.0,3.56,0.0,1.56,0.0,0,5,0,2,2,0.45,0.2,0.45,0.45,0.0,0,0.0,-2,0.2,0.14
5.0,Antwerp,12,10,8,47,32,15,46,Cercle Brugge KSV,13.0,01.03.2025,15:00,away,0,0,D,draw,0.26,1.14,0.52,0.48,8,19,4,4,0.0,1.0,5,2,0.73,0.72,2.0,1.0,0.0,1.0,2,11,2.0,4.0,2.0,14.0,6.0,5.0,0.0,1.0,12.0,34.0,2,4,12.0,13.0,0.63,0.59,0.33,0.2,28,32,13,12,0.55,0.61,46.0,20.0,13.0,11.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
5.0,Antwerp,12,10,8,47,32,15,46,Anderlecht,4.0,01.05.2025,12:30,home,1,3,L,opponent,0.73,1.04,0.59,0.41,12,8,3,5,2.0,2.0,9,2,0.86,0.82,2.0,0.0,1.0,0.0,5,2,4.0,1.0,5.0,7.0,7.0,1.0,0.0,0.0,22.0,20.0,3,2,12.0,14.0,0.64,0.69,0.33,0.33,16,21,14,12,0.5,0.79,15.0,33.0,6.0,7.0,2,2,1.07,1.86,0.0,1.0,1.0,0.0,0.44,0.43,1.09,0.89,44.0,55.0,0.0,0.0,0.0,1.0,1.86,1.07,-1.14,-0.1,1,0,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
5.0,Antwerp,12,10,8,47,32,15,46,Gent,6.0,01.09.2024,15:00,away,1,1,D,draw,0.0,0.0,0.52,0.48,15,15,10,8,0.0,0.0,5,1,0.0,0.0,3.0,4.0,0.0,0.0,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,15,14,10,18,0.0,0.0,0.0,0.0,0.0,0.0,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
5.0,Antwerp,12,10,8,47,32,15,46,Royale Union SG,3.0,01.12.2024,17:30,away,1,2,L,opponent,1.11,1.36,0.61,0.39,14,18,4,6,2.0,2.0,4,5,0.83,0.72,5.0,5.0,0.0,1.0,6,4,4.0,8.0,8.0,13.0,6.0,5.0,0.0,0.0,26.0,32.0,1,2,21.0,12.0,0.72,0.67,0.26,0.64,19,16,12,21,0.74,0.68,18.0,17.0,10.0,9.0,4,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
5.0,Antwerp,12,10,8,47,32,15,46,Club Brugge KV,2.0,02.02.2025,12:30,home,2,1,W,team,0.63,2.87,0.45,0.55,7,19,3,10,1.0,4.0,3,6,0.87,0.87,2.0,2.0,0.0,0.0,2,6,2.0,3.0,2.0,15.0,5.0,4.0,0.0,1.0,12.0,44.0,1,2,10.0,8.0,0.56,0.83,0.11,0.25,14,15,8,10,0.8,0.67,20.0,11.0,4.0,4.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1,1,1,0.2,0.2,0.5,0.0,0.5,1,0.3,1,0.2,0.23
5.0,Antwerp,12,10,8,47,32,15,46,Genk,1.0,03.11.2024,12:30,away,0,2,L,opponent,1.11,1.64,0.41,0.59,7,16,0,7,0.0,0.0,5,3,0.8,0.88,2.0,2.0,0.0,0.0,5,5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12.0,16.0,0.0,0.0,0.0,0.0,15,19,16,12,0.0,0.0,0.0,0.0,13.0,10.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,2,2,0.16666666666666666,0.2,0.5,0.0,0.5,0,0.2,-2,0.2,0.2
5.0,Antwerp,12,10,8,47,32,15,46,Anderlecht,4.0,04.08.2024,12:30,home,1,2,L,opponent,0.0,0.0,0.42,0.58,17,10,7,4,0.0,0.0,7,2,0.0,0.0,2.0,0.0,0.0,0.0,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,16,17,17,11,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2,2,0.14285714285714285,0.2,0.3333333333333333,0.0,0.0,0,0.1,-1,0.2,0.17
5.0,Antwerp,12,10,8,47,32,15,46,Club Brugge KV,2.0,06.04.2025,12:30,home,2,3,L,opponent,0.76,2.07,0.48,0.52,8,15,4,8,1.0,3.0,2,4,0.87,0.9,2.0,2.0,0.0,0.0,2,3,2.0,4.0,3.0,11.0,5.0,4.0,0.0,0.0,15.0,26.0,3,1,12.0,13.0,0.71,0.76,0.08,0.28,10,15,13,12,0.73,0.54,20.0,23.0,10.0,8.0,5,2,1.93,3.5,0.0,0.0,0.0,1.0,0.45,0.64,0.71,2.17,33.0,42.0,1.0,0.0,0.0,0.0,3.5,1.93,0.31,-0.07,1,5,1,2,2,0.125,0.2,0.25,0.0,1.0,0,0.0,-1,0.2,0.14
5.0,Antwerp,12,10,8,47,32,15,46,Cercle Brugge KSV,13.0,06.10.2024,15:00,home,3,0,W,team,1.66,1.18,0.54,0.46,14,16,5,6,0.0,0.0,4,7,0.66,0.6,1.0,3.0,0.0,0.0,6,5,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,9.0,11.0,0.0,0.0,0.0,0.0,23,25,9,7,0.0,0.0,0.0,0.0,6.0,8.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,1,1,0.2222222222222222,0.4,0.4,0.0,0.0,1,0.3,3,0.4,0.37000000000000005
5.0,Antwerp,12,10,8,47,32,15,46,Charleroi,10.0,08.12.2024,12:30,home,1,3,L,opponent,1.64,3.01,0.56,0.44,23,17,8,7,1.0,7.0,7,5,0.85,0.78,2.0,2.0,0.0,0.0,10,6,5.0,4.0,11.0,13.0,12.0,4.0,0.0,1.0,31.0,25.0,0,0,6.0,8.0,0.67,0.69,0.14,0.21,21,17,8,6,0.79,0.5,16.0,27.0,11.0,13.0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,2,2,0.2,0.2,0.3333333333333333,0.0,0.5,0,0.2,-2,0.2,0.2
5.0,Antwerp,12,10,8,47,32,15,46,Anderlecht,4.0,09.02.2025,12:30,away,0,2,L,opponent,0.53,2.19,0.45,0.55,9,15,3,5,0.0,5.0,2,9,0.83,0.85,4.0,1.0,0.0,0.0,4,4,2.0,6.0,5.0,12.0,4.0,3.0,0.0,0.0,15.0,25.0,3,2,9.0,14.0,0.61,0.74,0.45,0.18,21,20,14,9,0.57,0.72,25.0,12.0,6.0,2.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,2,0.18181818181818182,0.2,0.3333333333333333,0.0,0.0,0,0.1,-2,0.2,0.17
5.0,Antwerp,12,10,8,47,32,15,46,Gent,6.0,09.03.2025,17:30,home,0,1,L,opponent,0.92,1.02,0.43,0.57,12,13,6,5,1.0,1.0,8,4,0.8,0.83,1.0,0.0,0.0,0.0,4,2,2.0,6.0,9.0,11.0,3.0,2.0,1.0,0.0,17.0,34.0,1,1,14.0,10.0,0.68,0.72,0.17,0.24,16,25,10,14,0.55,0.61,28.0,25.0,11.0,11.0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,1,2,2,0.16666666666666666,0.2,0.2857142857142857,0.0,0.0,0,0.0,-1,0.2,0.14
5.0,Antwerp,12,10,8,47,32,15,46,Kortrijk,15.0,09.11.2024,15:00,away,2,1,W,team,1.12,0.89,0.64,0.36,13,14,7,5,0.0,0.0,4,7,0.81,0.73,2.0,3.0,0.0,0.0,4,3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,9.0,13.0,0.0,0.0,0.0,0.0,22,28,13,9,0.0,0.0,0.0,0.0,5.0,9.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,1,1,0.23076923076923078,0.4,0.2857142857142857,0.16666666666666666,0.5,1,0.3,1,0.4,0.37000000000000005
5.0,Antwerp,12,10,8,47,32,15,46,Gent,6.0,11.05.2025,12:30,away,3,0,W,team,0.97,1.32,0.52,0.48,7,16,3,6,2.0,3.0,5,4,0.89,0.85,2.0,2.0,0.0,1.0,3,6,1.0,4.0,2.0,9.0,5.0,7.0,0.0,1.0,11.0,14.0,3,2,11.0,11.0,0.72,0.64,0.2,0.31,11,14,11,11,0.8,0.86,16.0,12.0,12.0,4.0,6,0,1.4,0.36,0.0,0.0,2.0,0.0,0.5,0.51,1.23,0.46,21.0,27.0,0.0,2.0,0.0,0.0,0.36,1.4,0.36,-1.6,1,8,0,1,1,0.2857142857142857,0.4,0.2857142857142857,0.2857142857142857,0.0,2,0.5,3,0.4,0.43
5.0,Antwerp,12,10,8,47,32,15,46,St. Truiden,14.0,11.08.2024,15:00,home,6,1,W,team,0.0,0.0,0.52,0.48,11,15,8,7,0.0,0.0,5,2,0.0,0.0,1.0,0.0,0.0,0.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,17,15,4,8,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,1,1,1,0.3333333333333333,0.6,0.375,0.2857142857142857,0.5,3,0.6,5,0.6,0.6
